,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,360.618,86.6249,350.642,66.6438,350.56,76.5684,345.61,66.5901,345.25,66.3549,340.411,61.5439,340.04,61.287,340.177,56.5007,340.126,56.3752,335.145,56.366
neck,380.945,127.242,380.583,117.14,375.843,127.173,375.721,127.232,370.79,122.267,370.672,122.218,360.551,112.169,350.574,117.202,345.443,107.184,345.183,112.163
RShoulder,345.459,137.264,340.243,137.168,340.181,137.343,340.148,137.412,340.183,137.319,340.227,137.193,330.229,132.208,325.152,132.235,315.032,122.183,309.839,127.236
RElbow,299.794,142.37,279.455,142.725,279.379,152.737,279.525,157.75,289.477,157.768,294.538,152.603,284.434,147.488,264.39,142.335,264.198,137.462,258.988,137.337
RWrist,258.964,122.134,238.941,106.938,238.827,107.128,244.013,122.153,248.964,122.17,253.888,127.186,243.889,122.137,223.569,102.067,218.783,101.856,208.455,96.9995
LShoulder,411.353,107.158,406.161,101.945,401.167,106.966,396.112,107.098,390.958,107.054,386.068,107.088,386.101,102.084,385.758,106.927,380.8,102.014,375.816,102.213
LElbow,426.48,56.5542,421.448,56.3251,421.266,56.3647,421.169,56.3561,411.225,56.5643,391.121,56.0111,386.212,56.2109,386.243,51.2904,386.046,51.0805,385.798,56.1645
LWrist,390.96,35.9527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.664,10.5533,0.0,0.0,375.72,10.5525
MidHip,385.808,254.138,380.907,258.95,375.869,259.142,370.646,259.245,360.587,259.281,350.48,264.036,345.302,259.319,345.227,259.377,340.408,259.171,335.301,264.121
RHip,365.74,258.878,355.477,259.072,345.646,259.303,345.404,263.994,345.314,264.018,340.377,264.08,325.112,259.345,324.998,264.002,314.98,259.167,304.834,264.122
RKnee,375.624,350.534,370.746,360.533,375.624,370.677,375.581,360.552,360.49,370.67,345.57,375.884,335.295,380.862,309.816,380.626,299.909,365.706,289.583,365.543
RAnkle,396.145,472.186,391.167,472.248,396.115,472.193,386.163,472.183,386.101,472.215,380.728,472.208,375.712,472.252,370.609,472.24,340.26,472.207,309.849,472.215
LHip,406.248,254.12,396.2,258.909,386.193,259.075,385.726,259.172,380.76,259.219,375.69,264.019,375.626,259.322,370.699,264.02,360.597,259.256,350.559,264.193
LKnee,385.919,350.609,380.757,360.564,375.822,370.725,365.642,365.537,355.615,370.693,360.667,375.812,350.544,375.798,350.52,375.853,360.5,370.758,370.698,375.823
LAnkle,421.355,472.224,385.86,472.268,370.693,472.235,365.564,472.227,375.633,472.232,381.021,472.224,385.733,472.262,385.849,472.278,375.876,472.241,380.973,472.241
REye,350.528,71.5264,345.44,61.5841,345.353,66.4135,345.205,61.5589,340.279,61.3379,340.111,56.5358,335.011,56.2259,335.264,55.9985,335.151,51.2364,335.028,51.1236
LEye,375.739,66.6201,370.572,61.3525,365.712,61.6003,360.503,61.3406,350.563,56.5387,345.642,56.3568,345.225,56.0696,345.454,51.2079,345.382,51.1731,345.161,51.0947
REar,345.384,91.7394,340.399,76.5231,340.338,81.599,340.441,76.6314,339.937,76.5012,0.0,0.0,0.0,0.0,0.0,0.0,319.97,56.4817,0.0,0.0
LEar,386.066,81.6537,385.861,66.3956,385.855,66.5965,385.769,66.4006,380.952,66.3783,380.675,66.4427,375.763,56.5418,375.736,61.2902,370.756,61.1779,370.641,56.5566
LBigToe,416.28,472.28,375.756,472.33,345.396,472.275,345.272,472.239,355.443,472.263,380.764,472.284,380.904,472.32,385.894,472.33,375.746,472.278,380.897,472.263
LSmallToe,426.572,472.293,380.989,472.336,355.435,472.282,350.405,472.273,0.0,0.0,386.039,472.292,391.036,472.325,396.07,472.33,385.916,472.291,391.069,472.283
LHeel,426.324,472.253,385.815,472.289,0.0,0.0,0.0,0.0,0.0,0.0,380.996,472.252,385.776,472.277,385.853,472.296,380.686,472.259,385.797,472.256
RBigToe,385.948,472.229,0.0,0.0,396.107,472.229,385.911,472.236,385.953,472.254,350.521,472.215,350.392,472.26,345.366,472.279,314.972,472.26,304.669,472.258
RSmallToe,385.847,472.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.429,472.23,0.0,0.0,340.313,472.278,309.959,472.257,299.785,472.264
RHeel,401.19,472.209,406.224,472.244,411.243,472.206,406.121,472.213,401.112,472.241,380.913,472.229,375.757,472.238,375.671,472.236,345.24,472.213,320.079,472.229
