,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,370.776,340.404,370.787,340.266,370.801,330.212,375.632,324.966,375.629,314.88,375.562,319.931,370.753,330.184,375.567,340.39,370.72,345.13,370.62,340.499
neck,380.981,375.849,380.91,375.798,385.705,365.644,381.005,355.63,380.957,350.547,380.871,355.552,381.021,360.665,380.895,375.78,380.762,380.611,380.805,375.831
RShoulder,345.57,380.954,345.439,380.91,345.599,380.562,345.546,375.7,345.398,370.796,345.307,375.618,345.539,375.791,345.492,380.845,345.247,381.097,345.343,380.961
RElbow,304.759,426.335,304.978,426.349,310.008,421.353,325.05,416.417,325.065,416.214,315.05,416.423,310.041,421.237,305.086,426.326,304.769,426.345,304.642,421.615
RWrist,345.452,421.119,345.472,421.113,350.366,401.24,365.613,390.945,355.5,386.189,350.482,391.152,355.6,401.182,350.398,421.344,345.27,421.399,345.219,416.338
LShoulder,416.31,355.556,416.244,355.557,416.437,345.657,416.21,345.454,416.316,345.194,416.202,345.408,416.296,345.626,416.159,355.517,411.294,360.578,411.32,355.592
LElbow,386.178,416.293,396.158,401.154,411.329,391.18,411.186,390.994,436.708,385.888,421.386,391.102,391.132,406.137,385.959,416.236,396.038,411.269,391.03,411.174
LWrist,355.503,421.43,350.369,421.231,355.565,411.328,355.598,411.171,411.177,390.918,375.717,401.196,345.322,416.209,330.219,421.491,350.475,421.34,345.555,421.295
MidHip,436.614,431.562,426.389,431.757,421.57,426.712,426.542,426.273,421.152,426.38,421.543,426.569,431.635,426.309,431.61,426.708,426.49,431.673,426.663,426.808
RHip,421.241,431.859,401.174,441.808,396.145,431.72,411.23,426.652,386.202,426.816,396.105,431.625,421.217,426.693,421.209,431.635,406.205,436.833,416.193,431.813
RKnee,350.578,431.757,355.475,436.702,345.436,431.672,345.289,426.423,345.289,426.413,345.344,426.584,345.186,426.735,345.386,431.518,345.495,431.828,355.552,436.746
RAnkle,401.153,472.285,416.355,472.244,416.329,472.223,416.338,472.235,411.188,472.26,416.347,472.251,391.039,472.241,406.206,472.29,406.161,472.257,421.393,472.221
LHip,462.066,426.604,451.776,426.735,446.726,426.372,451.875,421.327,431.522,421.489,441.746,426.29,461.834,421.363,461.889,426.344,456.799,426.62,456.869,426.413
LKnee,461.809,431.615,467.09,426.538,462.028,426.377,461.983,426.2,466.989,416.227,466.987,421.265,431.63,426.755,416.395,426.72,462.139,426.6,462.215,426.447
LAnkle,461.729,472.292,462.078,472.284,456.988,472.283,446.768,472.272,451.945,472.259,441.768,472.273,426.467,472.286,426.378,472.292,457.021,472.28,461.742,472.28
REye,355.436,340.26,355.495,340.107,355.434,325.108,355.475,314.964,355.528,309.887,350.614,310.034,350.631,325.05,355.414,340.226,350.58,340.404,350.518,340.354
LEye,375.765,335.257,375.787,335.12,375.787,314.968,375.838,309.872,375.845,304.935,375.781,305.051,375.714,314.956,375.768,335.203,375.679,340.1,375.571,340.045
REar,345.468,345.409,345.532,345.248,345.566,340.122,345.496,335.074,345.515,325.175,345.388,330.173,345.477,340.032,345.356,345.278,345.28,345.54,345.296,345.464
LEar,381.087,340.025,381.074,335.322,385.69,315.024,381.044,310.005,381.065,305.075,380.994,309.832,381.007,315.01,381.047,335.317,380.94,340.198,380.881,340.122
LBigToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.27,472.328
LSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHeel,462.086,472.312,466.899,472.311,461.916,472.308,451.804,472.297,456.943,472.295,0.0,0.0,431.615,472.273,0.0,0.0,461.915,472.291,462.106,472.303
RBigToe,0.0,0.0,0.0,0.0,385.825,472.333,390.953,472.32,0.0,0.0,386.118,472.322,380.704,472.32,0.0,0.0,0.0,0.0,385.992,472.358
RSmallToe,0.0,0.0,0.0,0.0,381.019,472.327,390.986,472.317,0.0,0.0,0.0,0.0,380.688,472.317,0.0,0.0,0.0,0.0,0.0,0.0
RHeel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.293,472.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
