,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,264.102,61.1515,264.288,61.1703,264.527,56.3455,269.425,56.2035,274.462,56.2023,294.474,56.3105,294.46,56.2529,294.545,56.2728,294.727,56.2938,299.457,56.2446
neck,243.973,122.273,254.009,122.138,254.171,117.052,259.083,117.064,259.171,117.104,259.372,112.153,259.355,107.178,264.029,107.142,264.361,112.001,264.434,112.027
RShoulder,203.3,107.049,208.379,106.931,213.425,102.214,218.397,102.231,218.624,106.982,223.456,106.925,223.46,102.201,223.491,106.919,223.649,106.959,228.639,106.927
RElbow,172.786,177.794,177.72,173.03,177.909,172.997,178.166,177.723,178.237,177.818,182.97,177.898,183.116,177.921,183.25,178.065,188.054,178.023,183.341,177.955
RWrist,218.47,152.578,218.785,137.477,223.727,137.453,223.718,172.856,228.697,182.956,233.763,182.885,233.898,172.935,243.866,152.761,248.907,152.581,233.91,178.051
LShoulder,284.568,132.44,294.692,132.327,299.437,132.144,299.714,127.318,299.622,132.151,299.807,127.244,299.693,117.103,299.832,112.158,304.923,117.244,304.899,117.155
LElbow,304.556,183.085,299.95,188.046,299.941,183.304,309.843,183.147,309.776,178.133,309.943,183.104,319.995,178.093,319.91,182.853,320.002,183.08,330.06,182.955
LWrist,324.999,213.308,305.039,218.341,310.043,203.435,309.78,198.325,340.046,147.492,340.246,147.478,355.57,162.678,365.608,182.966,350.523,178.004,355.523,157.737
MidHip,238.95,264.023,248.947,259.321,254.012,259.286,258.985,264.037,259.08,259.202,259.371,259.331,264.149,264.046,264.275,264.111,269.308,264.169,274.324,264.036
RHip,218.549,263.985,218.739,259.173,223.565,259.139,223.837,259.275,228.72,259.086,233.857,259.226,243.859,264.024,248.934,264.093,253.91,264.143,258.854,264.09
RKnee,223.912,365.698,233.781,370.698,238.91,370.776,254.065,380.576,259.026,375.728,259.265,380.607,264.125,385.73,264.249,385.816,264.045,380.899,264.33,380.704
RAnkle,253.956,441.804,254.123,472.182,254.029,472.191,259.013,472.229,264.257,472.257,264.407,472.256,259.266,472.263,259.219,472.275,259.097,472.234,253.966,472.245
LHip,264.142,264.163,264.408,264.085,269.315,264.024,279.357,264.206,274.489,259.323,289.434,264.019,294.445,264.104,294.577,264.166,299.758,264.233,304.553,264.029
LKnee,228.899,375.691,233.784,380.79,243.845,380.748,253.961,380.726,258.924,380.628,259.189,380.799,264.272,381.058,269.225,385.827,299.718,380.837,314.875,380.571
LAnkle,208.45,472.175,213.324,472.211,213.458,472.213,218.45,472.195,218.295,472.208,218.5,472.23,223.587,472.248,223.657,472.259,254.034,426.372,259.204,472.166
REye,258.965,56.1028,259.172,56.1212,259.35,51.1864,264.065,50.9978,264.289,50.9391,269.409,51.0509,269.445,50.9678,269.477,51.0297,274.432,51.0299,279.363,50.9673
LEye,264.531,56.1653,269.433,56.1821,279.406,51.2251,289.481,50.9801,294.544,51.0282,299.684,51.1214,299.678,51.0626,299.678,51.062,299.836,51.0416,299.888,50.992
REar,228.62,56.5099,228.866,56.5113,233.811,56.3972,238.803,56.2469,243.85,56.1916,253.957,56.1117,254.074,56.0468,254.071,56.129,258.884,56.176,259.016,56.1509
LEar,274.336,61.3892,279.457,61.2604,289.56,56.4036,299.451,56.2179,299.854,56.2186,300.003,51.2961,304.513,51.3141,0.0,0.0,0.0,0.0,304.771,56.1282
LBigToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.108,472.181,264.305,472.248
LSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHeel,193.301,472.224,198.231,472.25,203.291,472.249,208.43,472.226,208.371,472.234,213.369,472.248,218.491,472.267,218.57,472.272,228.82,426.397,254.121,472.192
RBigToe,259.17,472.215,259.097,472.249,259.077,472.254,259.194,472.261,269.28,472.279,269.415,472.279,269.247,472.293,269.36,472.309,259.261,472.268,0.0,0.0
RSmallToe,259.076,472.197,259.127,472.234,259.079,472.239,259.286,472.256,269.335,472.286,0.0,0.0,0.0,0.0,0.0,0.0,259.109,472.277,0.0,0.0
RHeel,0.0,0.0,254.055,472.228,253.914,472.231,254.096,472.253,0.0,0.0,269.341,472.265,259.182,472.261,259.131,472.263,0.0,0.0,243.918,472.25
