,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,350.647,137.571,345.215,137.291,335.17,137.439,310.0,137.584,299.933,142.445,299.539,142.515,299.49,137.669,299.514,142.325,299.44,142.503,294.689,147.647
neck,370.685,183.068,350.631,182.85,345.433,182.829,340.347,182.873,340.255,183.255,335.292,182.975,335.059,178.158,325.16,178.184,325.14,183.101,324.973,188.262
RShoulder,335.2,178.146,320.055,178.06,314.907,178.163,305.011,178.192,309.855,183.182,304.849,183.03,304.83,178.239,299.689,183.011,299.609,183.268,299.65,193.277
RElbow,304.786,223.765,304.858,223.853,304.621,228.74,304.548,228.863,309.834,253.915,304.658,243.99,304.942,243.908,299.527,233.861,299.445,249.081,294.718,259.188
RWrist,305.048,238.937,299.681,233.825,299.661,223.779,299.424,259.033,299.472,269.268,299.573,264.139,299.569,264.114,274.276,259.082,279.413,264.329,264.273,284.498
LShoulder,406.268,188.147,391.105,183.163,381.075,182.944,375.595,182.927,360.508,183.26,350.454,182.877,345.465,178.03,345.587,177.943,345.642,182.933,345.486,183.324
LElbow,416.339,253.996,391.157,254.111,386.088,243.945,381.108,254.095,380.974,254.025,380.996,238.816,380.942,223.912,385.716,223.796,381.055,233.785,380.913,248.93
LWrist,390.936,294.604,385.738,294.614,380.781,294.516,380.614,223.807,380.726,223.792,375.715,228.7,375.766,218.502,350.373,193.302,380.697,218.704,375.703,223.705
MidHip,345.614,305.043,345.264,309.772,340.24,304.953,339.981,309.814,335.011,314.856,330.111,305.051,325.077,304.843,330.054,304.606,320.09,309.771,315.057,310.004
RHip,330.148,304.921,315.028,305.028,309.856,304.927,305.066,305.049,304.949,309.932,304.911,304.988,304.765,304.764,304.823,304.609,304.572,309.757,299.914,310.03
RKnee,314.896,411.365,310.016,416.276,309.867,416.187,309.752,421.214,304.9,421.274,304.968,416.274,305.026,406.164,309.768,391.152,304.683,406.253,299.966,416.185
RAnkle,320.061,472.278,319.971,472.269,314.988,472.266,314.839,472.28,314.85,472.297,330.225,472.289,319.938,472.276,314.938,472.228,310.033,472.242,305.033,472.245
LHip,380.806,309.821,375.749,309.854,355.634,304.992,350.37,309.925,345.289,319.917,345.116,309.893,340.461,304.992,345.162,304.687,340.501,309.869,340.311,310.046
LKnee,391.029,406.249,386.1,406.255,380.864,401.105,350.369,416.356,340.204,416.415,325.035,411.272,319.911,406.2,319.934,391.169,310.015,406.188,305.105,411.167
LAnkle,421.551,472.286,421.611,472.285,421.349,472.281,396.081,472.298,380.63,472.316,330.175,472.304,309.847,472.308,299.925,472.277,299.759,472.286,299.715,472.28
REye,345.61,132.446,340.279,127.336,325.104,132.222,309.807,137.133,299.801,137.373,294.578,137.421,294.582,137.169,294.46,137.294,289.63,137.416,289.484,142.587
LEye,370.718,137.147,350.397,127.325,340.402,132.243,330.046,137.18,305.056,137.396,304.559,137.397,299.932,137.195,299.923,137.22,299.896,137.386,299.749,142.407
REar,345.121,137.327,335.249,132.385,330.02,137.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEar,385.787,137.436,375.813,137.161,360.515,137.171,345.38,137.395,340.168,137.571,330.104,137.337,325.009,137.286,325.157,137.249,325.047,137.411,319.934,142.406
LBigToe,421.38,472.304,421.342,472.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.585,472.305,299.491,472.302,299.66,472.292
LSmallToe,431.677,472.296,436.592,472.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.58,472.317,0.0,0.0,299.621,472.303
LHeel,426.343,472.284,426.417,472.283,421.391,472.27,401.073,472.291,380.691,472.318,330.025,472.33,0.0,0.0,299.711,472.293,299.567,472.3,299.493,472.291
RBigToe,319.962,472.351,314.989,472.348,0.0,0.0,0.0,0.0,309.865,472.344,320.02,472.312,309.967,472.3,314.95,472.266,309.995,472.282,0.0,0.0
RSmallToe,314.999,472.349,314.935,472.346,0.0,0.0,0.0,0.0,0.0,0.0,320.066,472.313,0.0,0.0,315.031,472.269,310.018,472.286,0.0,0.0
RHeel,330.078,472.256,325.146,472.251,325.085,472.249,320.028,472.272,319.957,472.3,330.193,472.295,0.0,0.0,314.938,472.235,314.874,472.245,309.785,472.235
