,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,340.003,137.481,340.303,137.57,345.591,142.295,350.48,142.378,350.571,142.348,355.472,137.504,360.602,137.348,365.661,137.338,360.55,137.441,360.629,137.628
neck,340.052,172.875,340.238,177.722,345.322,177.856,345.56,177.954,350.463,177.842,355.419,177.715,360.506,172.959,355.583,177.741,355.6,177.689,360.584,177.791
RShoulder,304.756,167.891,304.934,172.731,319.941,177.709,325.05,177.818,335.069,172.947,335.168,172.811,340.128,167.818,340.029,172.772,340.012,167.951,340.177,172.844
RElbow,269.324,127.353,269.338,132.37,279.448,132.332,279.523,132.357,299.479,132.307,299.457,132.218,304.624,112.02,299.733,127.183,294.721,132.335,299.431,137.287
RWrist,269.215,86.7269,279.525,86.5981,299.581,81.5948,299.613,81.5979,299.732,91.6645,299.687,86.7424,309.922,66.5345,304.661,81.6885,299.629,86.7205,299.662,91.6557
LShoulder,355.54,172.983,365.614,177.869,380.595,178.005,380.92,178.144,381.006,178.131,385.79,177.838,385.957,177.771,385.941,177.874,385.981,177.824,386.015,177.891
LElbow,406.278,137.539,421.161,137.582,421.413,142.452,426.355,142.299,426.3,142.383,426.59,132.18,426.609,127.245,426.532,137.208,431.633,132.355,431.508,132.449
LWrist,416.28,96.7731,421.511,96.7371,426.428,96.68,426.684,96.9584,431.589,96.8347,431.533,96.5738,431.502,86.6326,431.58,91.7664,431.678,91.693,431.774,91.8834
MidHip,335.047,279.524,335.28,289.453,340.181,289.505,340.36,289.594,340.47,289.469,340.484,289.459,345.203,284.559,345.442,289.536,345.416,289.524,345.506,289.516
RHip,304.865,279.386,305.083,284.44,310.018,284.541,315.051,284.586,324.975,284.485,325.009,284.498,325.13,284.415,335.146,284.504,335.096,284.51,335.282,284.537
RKnee,299.484,375.621,299.626,375.709,299.585,370.665,299.721,370.617,299.719,370.614,299.773,370.661,299.909,370.693,305.003,370.702,304.929,370.612,299.864,370.653
RAnkle,279.364,472.19,294.624,472.201,299.662,472.186,304.599,472.187,304.623,472.198,299.559,472.202,299.411,472.17,299.55,472.198,299.576,472.194,294.539,472.179
LHip,345.451,284.433,345.593,289.561,350.519,289.647,355.536,294.524,360.497,289.637,360.507,289.573,365.662,289.545,375.613,294.502,375.586,294.466,375.627,289.652
LKnee,350.589,375.848,355.479,380.854,350.438,380.672,350.548,380.648,350.544,380.637,355.521,380.717,360.585,380.599,370.8,375.706,365.704,375.825,360.555,380.764
LAnkle,365.641,472.207,355.538,472.227,350.529,472.211,365.572,472.199,350.513,472.218,355.478,472.211,355.568,472.202,355.471,472.202,355.473,472.202,355.518,472.208
REye,330.191,137.189,339.995,137.269,345.238,137.396,345.456,137.462,345.565,137.462,350.375,137.212,350.583,132.322,355.522,132.343,350.573,132.426,350.644,137.344
LEye,340.301,137.138,345.244,137.218,355.508,137.424,360.643,137.569,365.613,137.527,370.589,137.191,375.645,132.369,375.779,132.415,375.605,137.129,375.586,137.363
REar,314.938,137.632,325.098,142.256,335.312,142.414,340.208,142.481,340.415,142.435,345.157,137.665,345.323,137.515,345.457,137.52,345.351,137.58,345.428,142.29
LEar,345.469,137.503,350.557,137.594,370.704,142.507,375.674,142.727,375.832,142.564,380.636,137.649,380.779,137.625,380.831,142.273,380.854,137.671,380.759,142.436
LBigToe,0.0,0.0,350.448,472.268,345.577,472.257,350.544,472.257,345.491,472.266,345.59,472.263,350.438,472.258,350.474,472.242,350.493,472.237,345.625,472.262
LSmallToe,0.0,0.0,380.716,472.265,375.823,472.247,380.725,472.258,370.766,472.262,375.793,472.263,375.85,472.249,375.743,472.233,375.802,472.232,375.86,472.256
LHeel,365.553,472.22,355.572,472.228,0.0,0.0,365.656,472.209,350.548,472.213,355.447,472.212,355.46,472.209,350.513,472.21,355.419,472.212,355.554,472.207
RBigToe,274.385,472.239,284.451,472.243,289.581,472.234,294.655,472.233,294.639,472.234,289.522,472.24,284.441,472.203,284.476,472.225,284.58,472.22,284.407,472.22
RSmallToe,264.305,472.221,274.297,472.224,279.383,472.219,289.553,472.227,289.523,472.231,279.384,472.231,274.307,472.182,274.439,472.209,274.431,472.204,274.291,472.205
RHeel,289.545,472.207,299.592,472.221,304.613,472.212,304.943,472.21,304.925,472.22,299.805,472.222,299.619,472.197,299.709,472.225,299.739,472.225,299.487,472.207
