,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,380.794,152.725,380.711,152.559,370.789,147.745,350.565,147.627,345.453,147.648,345.188,147.688,340.408,152.595,340.011,152.618,335.18,147.696,325.067,147.715
neck,380.579,208.382,375.794,208.402,365.731,203.324,355.47,193.354,345.649,198.191,345.33,198.242,340.469,198.342,340.212,198.294,340.074,198.212,335.183,198.258
RShoulder,340.292,203.354,340.137,203.365,335.181,198.24,329.999,193.235,314.936,198.339,309.825,203.332,304.811,203.383,299.965,203.272,299.815,198.239,299.622,203.259
RElbow,330.031,259.249,315.076,259.316,309.88,254.117,309.851,254.165,304.785,258.974,299.88,258.924,299.749,259.088,299.499,258.955,299.418,258.974,294.597,259.071
RWrist,319.943,304.937,309.94,309.784,309.899,304.657,304.908,304.607,299.844,304.744,299.485,304.684,299.414,304.833,294.572,304.847,294.463,304.91,284.442,304.864
LShoulder,416.164,213.337,411.2,213.306,396.042,203.36,390.958,193.304,385.964,193.2,381.079,193.241,380.842,193.338,380.57,198.249,370.802,193.291,360.638,193.208
LElbow,421.373,259.355,421.148,264.073,416.236,259.08,401.238,258.936,391.03,259.066,390.988,254.175,386.175,254.151,386.032,258.898,381.014,258.878,380.645,253.922
LWrist,421.476,309.928,421.373,309.917,421.132,305.048,416.281,304.795,395.993,305.035,391.168,304.857,386.055,304.929,386.004,305.083,385.737,305.077,380.833,299.764
MidHip,375.602,314.956,365.634,319.913,360.511,309.859,350.607,304.998,345.514,309.772,345.184,305.032,340.434,309.807,340.123,309.851,340.021,309.813,335.14,309.821
RHip,345.253,314.903,340.435,314.995,340.336,309.85,340.145,305.012,330.217,305.074,319.968,305.0,314.857,309.817,305.078,309.862,304.995,309.889,304.873,309.942
RKnee,335.037,406.287,330.005,416.33,330.013,391.128,320.06,391.095,309.952,401.111,309.792,401.161,305.01,401.212,304.933,401.218,304.802,406.158,304.832,396.147
RAnkle,309.914,472.267,305.049,472.275,305.113,472.256,304.957,472.254,304.864,472.28,304.794,472.267,304.865,472.262,304.878,472.26,304.857,472.262,304.904,472.263
LHip,386.222,315.041,385.963,319.983,385.713,309.886,380.902,305.01,380.58,309.803,370.765,305.08,365.712,309.853,355.496,309.926,350.568,309.828,345.6,309.771
LKnee,386.057,416.283,385.84,421.245,385.856,401.194,380.915,401.142,380.693,406.293,380.527,411.282,380.514,406.26,375.629,406.167,370.749,396.191,360.515,390.937
LAnkle,385.773,472.285,381.01,472.299,385.844,472.279,385.748,472.279,381.072,472.29,381.03,472.287,381.055,472.283,380.897,472.279,380.982,472.281,380.827,472.27
REye,375.79,142.798,375.646,142.69,355.61,142.628,345.515,142.528,340.521,142.583,340.261,142.618,340.039,142.758,330.14,142.781,325.061,142.612,310.046,142.634
LEye,385.768,147.559,381.094,142.745,380.654,142.672,365.623,142.582,350.578,142.582,345.606,142.62,345.351,142.73,340.401,142.766,340.262,142.621,335.183,142.62
REar,355.614,152.648,350.599,152.595,345.376,147.664,340.369,147.564,335.275,147.601,334.99,147.651,325.067,147.787,310.012,152.711,309.829,147.757,304.888,147.707
LEar,390.892,152.756,386.106,152.714,381.106,152.638,380.678,147.699,370.772,147.614,360.645,147.642,350.621,147.706,345.613,147.736,345.485,147.621,340.497,147.598
LBigToe,386.082,472.329,0.0,0.0,386.072,472.292,386.001,472.296,0.0,0.0,0.0,0.0,0.0,0.0,381.03,472.297,0.0,0.0,380.976,472.29
LSmallToe,0.0,0.0,0.0,0.0,391.149,472.285,391.122,472.29,0.0,0.0,0.0,0.0,0.0,0.0,385.998,472.292,0.0,0.0,386.073,472.284
LHeel,380.982,472.292,380.903,472.316,385.748,472.278,0.0,0.0,380.924,472.299,380.891,472.294,380.903,472.288,380.779,472.28,380.852,472.285,380.791,472.275
RBigToe,0.0,0.0,0.0,0.0,0.0,0.0,304.911,472.297,304.856,472.332,304.817,472.316,304.885,472.311,304.898,472.304,304.898,472.304,304.853,472.307
RSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,304.783,472.307,304.852,472.333,304.729,472.322,304.728,472.321,304.685,472.315,304.727,472.318,304.771,472.314
RHeel,314.943,472.233,309.859,472.24,314.858,472.239,309.901,472.241,309.895,472.261,309.815,472.25,309.829,472.245,309.816,472.247,309.827,472.252,309.836,472.258
