,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,335.054,46.059,335.011,45.9982,335.066,46.0074,335.133,46.0476,335.214,46.1128,335.209,46.1097,335.18,46.1331,335.135,46.0765,335.122,46.0531,335.146,46.0393
neck,330.127,96.8255,330.031,96.8168,330.068,96.8142,330.1,96.8273,330.052,96.828,330.036,96.8272,330.046,96.8399,330.042,96.8264,330.004,96.8184,330.011,96.8334
RShoulder,279.395,96.7631,274.408,96.7511,274.386,96.6887,274.411,96.6718,274.431,96.6657,274.473,96.6648,274.443,96.6884,274.409,96.685,274.342,96.6774,274.39,96.6987
RElbow,213.319,96.8256,213.511,96.8011,208.363,96.7518,208.357,96.7806,203.4,96.7282,208.412,96.6887,208.384,96.6816,203.432,96.6601,208.3,96.6685,203.36,96.6568
RWrist,137.373,96.7074,142.392,96.7322,142.666,96.6117,142.481,91.5774,142.316,86.7225,142.322,86.7062,142.371,86.7636,137.607,86.7808,137.564,86.6856,137.531,81.7046
LShoulder,375.701,96.6712,375.676,96.6877,375.726,96.6959,375.774,96.7414,375.725,96.7412,375.674,96.7079,375.663,96.7033,375.666,96.6943,375.685,96.688,375.655,96.6916
LElbow,451.809,91.6497,451.821,91.6563,436.677,91.7827,436.661,91.8463,431.754,91.8776,431.619,91.813,431.697,91.7788,431.731,91.79,436.607,91.8034,436.652,91.8023
LWrist,512.866,81.7282,512.806,81.6759,507.506,91.8904,507.615,96.624,507.514,96.5882,507.464,91.8816,507.481,91.7693,502.763,91.6983,507.425,91.7379,502.721,91.6741
MidHip,335.049,253.926,335.082,254.029,330.223,253.898,335.044,253.956,335.041,253.903,335.048,253.906,335.094,254.001,335.056,253.999,335.051,253.999,335.037,254.026
RHip,299.858,253.88,299.835,253.97,299.799,249.05,299.836,253.895,299.844,249.077,299.856,249.079,299.881,253.933,299.859,253.95,299.84,253.943,299.839,253.981
RKnee,304.544,370.764,299.927,380.599,299.96,375.782,299.927,380.76,299.875,375.765,299.892,380.811,299.957,380.875,299.922,380.76,299.871,381.064,299.899,380.904
RAnkle,314.924,472.223,310.054,472.248,314.909,472.234,310.024,472.263,309.845,472.252,310.053,472.262,309.896,472.27,314.888,472.262,309.922,472.273,309.879,472.266
LHip,350.584,253.978,355.422,254.066,350.533,253.934,350.576,254.013,350.566,253.954,350.575,253.927,350.61,254.049,350.576,254.028,350.587,254.023,350.563,254.039
LKnee,350.59,370.602,350.39,380.668,350.375,370.767,350.358,380.74,350.466,375.694,350.54,380.715,350.431,380.903,350.507,380.751,350.503,380.976,350.519,380.896
LAnkle,345.602,472.23,345.265,472.275,345.319,472.243,345.168,472.286,345.283,472.265,345.26,472.287,345.152,472.29,345.339,472.284,345.289,472.29,345.205,472.285
REye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REar,304.593,51.1696,304.564,51.141,304.569,51.1568,304.633,51.1017,304.67,51.1089,304.683,51.1425,304.676,51.1553,304.641,51.1689,304.619,51.1293,304.632,51.1604
LEar,345.481,51.2812,345.459,51.2713,345.482,51.294,345.503,55.944,345.541,55.987,345.534,55.9668,345.554,55.9799,345.522,55.9573,345.527,55.9487,345.512,55.9349
LBigToe,350.436,472.284,345.597,472.334,345.55,472.3,345.492,472.337,345.426,472.324,350.385,472.334,345.476,472.337,345.657,472.336,345.598,472.335,345.543,472.334
LSmallToe,375.689,472.257,355.58,472.334,370.67,472.27,350.619,472.342,360.623,472.308,360.52,472.338,350.596,472.341,360.593,472.333,355.622,472.335,355.53,472.334
LHeel,345.408,472.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.171,472.294,0.0,0.0,0.0,0.0
RBigToe,0.0,0.0,304.862,472.3,0.0,0.0,304.923,472.313,304.718,472.284,305.029,472.321,0.0,0.0,0.0,0.0,304.96,472.335,304.882,472.319
RSmallToe,0.0,0.0,304.745,472.3,0.0,0.0,304.765,472.313,299.83,472.293,304.815,472.32,0.0,0.0,0.0,0.0,304.745,472.334,304.7,472.319
RHeel,315.016,472.233,310.031,472.246,314.901,472.238,310.003,472.253,309.88,472.249,310.029,472.249,309.881,472.256,0.0,0.0,309.878,472.257,309.866,472.252
